tweet_id,favorite_count,retweet_count
782598640137187329,8116,1969
782305867769217024,17351,5837
782021823840026624,0,6499
781955203444699136,11584,3525
781661882474196992,10883,2842
781655249211752448,4166,1175
781524693396357120,21604,5821
781308096455073793,7430,2667
781251288990355457,8782,2185
781163403222056960,10192,2864
780931614150983680,22506,7672
780858289093574656,7482,2098
780800785462489090,5718,1365
780601303617732608,12613,3492
780543529827336192,6557,1814
780496263422808064,0,3868
780476555013349377,0,119
780459368902959104,5501,1122
780192070812196864,9059,2341
780092040432480260,0,2411
780074436359819264,12730,5199
779834332596887552,19694,7400
779377524342161408,9179,3244
779124354206535695,0,19215
779056095788752897,15379,4729
778990705243029504,20811,7551
778774459159379968,0,10383
778764940568104960,898,380
778748913645780993,7170,1375
778650543019483137,5997,1574
778624900596654080,4815,1058
778408200802557953,14190,4535
778396591732486144,0,12786
778383385161035776,6073,1149
778286810187399168,10811,3442
778039087836069888,8821,2751
778027034220126208,6809,1689
777953400541634568,0,3700
777885040357281792,6612,1702
777684233540206592,11661,3067
777641927919427584,0,4419
777621514455814149,9105,2600
777189768882946048,14868,4491
776819012571455488,0,14305
776813020089548800,5072,1267
776477788987613185,9192,2893
776249906839351296,0,9549
776218204058357768,31133,16600
776201521193218049,9982,2623
776113305656188928,12199,4540
776088319444877312,1910,158
775898661951791106,0,17252
775842724423557120,12175,2785
775733305207554048,14373,4155
775729183532220416,13424,4790
775364825476165632,7691,3106
775350846108426240,10557,4066
775085132600442880,16144,4930
774757898236878852,8901,1856
774639387460112384,6974,1798
774314403806253056,22593,5771
773985732834758656,11127,4034
773922284943896577,6643,1819
773704687002451968,6859,1696
773670353721753600,5532,1354
773547596996571136,22938,6419
773336787167145985,0,5302
773308824254029826,24137,7777
773247561583001600,9780,3380
773191612633579521,10361,4307
772877495989305348,8891,4036
772826264096874500,8334,2444
772615324260794368,0,3512
772581559778025472,6735,1759
772193107915964416,6267,1444
772152991789019136,3937,1171
772117678702071809,3909,769
772114945936949249,2811,485
772102971039580160,4155,968
771908950375665664,6817,1980
771770456517009408,12431,3539
771500966810099713,8559,2708
771380798096281600,10876,5302
771171053431250945,0,7826
771136648247640064,9480,3038
771102124360998913,6467,1486
771014301343748096,7133,1717
771004394259247104,0,224
770787852854652928,5120,1253
770772759874076672,5373,1472
770655142660169732,7579,1823
770414278348247044,6536,2172
770293558247038976,6466,1539
770093767776997377,0,3172
770069151037685760,7842,2386
769940425801170949,32503,9964
769695466921623552,6620,1725
769335591808995329,0,8021
769212283578875904,5597,1779
768970937022709760,14917,6776
768909767477751808,0,2795
768855141948723200,4353,923
768609597686943744,4259,1248
768596291618299904,5220,1333
768554158521745409,0,6058
768473857036525572,14123,3570
768193404517830656,11283,3700
767884188863397888,4930,1443
767754930266464257,16591,5595
767500508068192258,7747,2428
767191397493538821,12713,3928
767122157629476866,10501,2968
766864461642756096,0,5869
766793450729734144,5261,1405
766714921925144576,2687,392
766693177336135680,4158,824
766423258543644672,6218,1656
766313316352462849,7021,1954
766078092750233600,0,2722
766069199026450432,4394,888
766008592277377025,3882,517
765719909049503744,7498,2223
765669560888528897,5368,1264
765395769549590528,27409,3506
765371061932261376,7323,2242
765222098633691136,12025,3512
764857477905154048,6666,1834
764259802650378240,6235,1563
763956972077010945,773,57
763837565564780549,13018,4315
763183847194451968,5566,1536
763167063695355904,0,3137
763103485927849985,7595,2366
762699858130116608,12571,3760
762471784394268675,11628,6696
762464539388485633,10648,4341
762316489655476224,4964,1159
762035686371364864,33005,16153
761976711479193600,5572,2081
761750502866649088,0,4070
761745352076779520,4406,887
761672994376806400,51169,30163
761599872357261312,4258,1224
761371037149827077,0,18720
761334018830917632,5369,1503
761292947749015552,4612,1127
761227390836215808,5478,1619
761004547850530816,11700,3604
760893934457552897,3943,1011
760656994973933572,6828,1979
760641137271070720,5125,1333
760539183865880579,7833,3754
760521673607086080,4371,1445
760290219849637889,27687,11927
760252756032651264,4068,900
760190180481531904,5882,1869
759943073749200896,6129,2156
759923798737051648,15150,5869
759846353224826880,6931,2043
759793422261743616,6151,1965
759566828574212096,0,21840
759557299618865152,4855,1221
759447681597108224,8768,2526
759446261539934208,1724,502
759197388317847553,6258,2016
759159934323924993,0,1206
759099523532779520,14974,4313
759047813560868866,6706,2103
758854675097526272,3658,927
758828659922702336,11548,3981
758474966123810816,3931,1034
758467244762497024,4954,2299
758405701903519748,5363,1982
758355060040593408,3523,1116
758099635764359168,19735,10383
758041019896193024,2786,385
757741869644341248,7091,3365
757729163776290825,0,8297
757725642876129280,4676,1254
757611664640446465,4711,1144
757597904299253760,0,306
757596066325864448,4473,1084
757400162377592832,15607,7081
757393109802180609,6006,1794
757354760399941633,4666,1474
756998049151549440,6479,2051
756939218950160384,6849,2075
756651752796094464,5219,1353
756526248105566208,10731,3714
756303284449767430,4069,1128
756288534030475264,44128,18038
756275833623502848,6620,1581
755955933503782912,7548,2971
755206590534418437,16946,5517
755110668769038337,21865,11466
754874841593970688,0,8203
754856583969079297,7093,2606
754747087846248448,2658,540
754482103782404096,5471,2018
754449512966619136,3866,751
754120377874386944,8101,2431
753655901052166144,6004,2229
753420520834629632,8158,3675
753398408988139520,5947,1977
753375668877008896,7866,2411
753298634498793472,0,5912
753294487569522689,3482,1076
753039830821511168,38230,21626
753026973505581056,4028,1004
752932432744185856,13015,7076
752917284578922496,7101,1630
752701944171524096,0,2964
752682090207055872,6155,1649
752660715232722944,4521,1612
752568224206688256,5688,2358
752519690950500352,7580,3547
752334515931054080,3927,1141
752309394570878976,0,16922
752173152931807232,6109,1891
751950017322246144,3157,954
751937170840121344,5348,1379
751830394383790080,5964,2010
751793661361422336,6022,2988
751598357617971201,8143,3130
751583847268179968,4529,1142
751538714308972544,5188,1302
751456908746354688,3299,1030
751251247299190784,12864,6070
751205363882532864,6498,1883
751132876104687617,5201,1337
750868782890057730,4912,1421
750719632563142656,13556,5194
750506206503038976,4565,1178
750429297815552001,13532,4419
750383411068534784,4684,1185
750381685133418496,723,29
750147208377409536,3197,988
750132105863102464,3729,1334
750117059602808832,4453,1350
750101899009982464,3130,865
750086836815486976,2230,556
750071704093859840,8090,3436
750056684286914561,3237,923
750041628174217216,3263,640
750026558547456000,2786,809
750011400160841729,3322,935
749996283729883136,3151,842
749981277374128128,5251,2526
749774190421639168,4785,1358
749417653287129088,6266,1693
749403093750648834,2700,551
749395845976588288,8836,3552
749317047558017024,5632,2292
749075273010798592,5907,2133
749064354620928000,4925,1563
749036806121881602,3192,812
748977405889503236,11034,3500
748932637671223296,5988,2330
748705597323898880,2843,973
748699167502000129,4869,1644
748692773788876800,4348,1362
748575535303884801,6224,2033
748568946752774144,2247,686
748346686624440324,5350,1266
748337862848962560,7871,4224
748324050481647620,3777,781
748307329658011649,3760,727
748220828303695873,14523,8027
747963614829678593,5917,2205
747933425676525569,6791,2617
747885874273214464,3026,1006
747844099428986880,2886,769
747816857231626240,4974,1195
747651430853525504,1422,159
747648653817413632,13248,6009
747600769478692864,2381,566
747594051852075008,3778,1078
747512671126323200,5683,1642
747461612269887489,3969,1066
747439450712596480,5565,1970
747242308580548608,0,2961
747219827526344708,5412,1621
747204161125646336,3465,941
747103485104099331,9817,4078
746906459439529985,2964,307
746872823977771008,6129,2185
746818907684614144,5435,1781
746790600704425984,4999,1636
746757706116112384,9804,4009
746726898085036033,6202,1842
746542875601690625,5166,1923
746521445350707200,0,1009
746507379341139972,4764,1109
746369468511756288,6329,1677
746131877086527488,7085,2271
746056683365994496,3632,831
745789745784041472,4118,1096
745712589599014916,7163,2388
745433870967832576,7251,2607
745422732645535745,8801,2497
